year,industry,ai_adoption_rate_pct,investment_usd_millions,use_cases_deployed,roi_percentage,workforce_impact_pct,maturity_level
2020,Retail,12.3,145.2,3.1,18.4,4.2,Experimenting
2020,Healthcare,8.7,98.6,2.4,14.2,2.8,Experimenting
2020,Finance,22.1,312.8,5.6,31.7,8.1,Scaling
2020,Manufacturing,10.4,187.3,3.8,22.6,5.9,Experimenting
2020,Logistics,14.8,132.5,4.2,26.3,7.4,Experimenting
2020,Energy,7.2,89.4,2.1,16.8,3.1,Experimenting
2021,Retail,19.6,234.7,5.2,27.3,7.1,Experimenting
2021,Healthcare,14.3,178.9,4.1,21.6,4.8,Experimenting
2021,Finance,31.4,487.2,8.9,43.2,12.6,Scaling
2021,Manufacturing,17.8,298.4,6.4,34.1,9.3,Scaling
2021,Logistics,23.5,214.6,7.1,38.7,11.8,Scaling
2021,Energy,12.6,156.8,3.9,24.5,5.7,Experimenting
2022,Retail,31.2,412.3,8.7,38.9,11.4,Scaling
2022,Healthcare,23.8,321.7,6.9,32.4,8.2,Scaling
2022,Finance,44.7,698.5,13.2,58.6,18.9,Scaling
2022,Manufacturing,28.9,456.8,10.3,47.8,14.6,Scaling
2022,Logistics,36.4,342.1,11.8,54.3,17.2,Scaling
2022,Energy,19.4,247.6,6.2,35.7,9.8,Experimenting
2023,Retail,47.8,623.4,13.6,52.7,16.8,Scaling
2023,Healthcare,38.2,512.3,10.8,47.3,13.1,Scaling
2023,Finance,61.3,987.6,19.4,74.2,26.4,Transforming
2023,Manufacturing,44.6,712.4,16.2,63.5,20.8,Scaling
2023,Logistics,54.2,518.7,18.1,71.8,24.3,Transforming
2023,Energy,31.7,398.4,9.8,48.9,14.7,Scaling
2024,Retail,63.4,891.2,19.8,68.4,23.2,Transforming
2024,Healthcare,53.6,745.8,15.9,62.1,19.4,Scaling
2024,Finance,74.8,1342.3,26.7,89.4,34.7,Transforming
2024,Manufacturing,61.2,1023.7,22.4,79.3,28.6,Transforming
2024,Logistics,69.8,743.2,25.3,86.7,31.8,Transforming
2024,Energy,47.3,587.6,14.6,63.4,21.2,Scaling
2025,Retail,76.2,1234.5,27.3,82.6,31.4,Transforming
2025,Healthcare,68.4,1089.3,22.1,76.8,26.9,Transforming
2025,Finance,84.6,1876.4,34.8,104.7,43.2,Transforming
2025,Manufacturing,75.8,1456.8,30.2,94.1,37.4,Transforming
2025,Logistics,81.3,1067.5,33.6,101.3,40.6,Transforming
2025,Energy,62.1,834.2,20.4,78.6,29.3,Transforming
2026,Retail,86.4,1678.3,36.4,97.3,41.8,Transforming
2026,Healthcare,79.7,1456.7,29.8,91.4,35.7,Transforming
2026,Finance,91.2,2341.8,44.2,118.6,52.4,Transforming
2026,Manufacturing,87.3,1923.4,39.1,108.7,47.3,Transforming
2026,Logistics,91.8,1434.6,43.7,113.4,51.2,Transforming
2026,Energy,74.6,1123.8,27.3,89.7,37.8,Transforming
